date,gdp,gdp_trend,gdp_cycle,consumption,consumption_trend,consumption_cycle,investment,investment_trend,investment_cycle,hours,hours_trend,hours_cycle,tfp,tfp_trend,tfp_cycle
1947Q2,2176.892000,2138.523045,1.778275,1373.880000,1355.341218,1.358561,209.836000,230.528909,-9.405000,41.793000,41.522294,0.649838,0.999631,0.991902,0.776145
1947Q3,2172.432000,2162.647279,0.451421,1378.358000,1366.646240,0.853320,203.662000,233.679346,-13.748810,41.907000,41.610151,0.710873,0.990058,0.999212,-0.920393
1947Q4,2206.452000,2187.067962,0.882398,1378.796000,1378.057260,0.053593,243.072000,236.858915,2.589303,42.313000,41.698363,1.463248,0.998505,1.006581,-0.805522
1948Q1,2239.682000,2211.819808,1.251827,1385.667000,1389.594567,-0.283041,268.012000,240.032897,11.025577,42.582000,41.787288,1.883945,1.023237,1.014008,0.905976
1948Q2,2276.690000,2236.951323,1.760871,1401.789000,1401.279575,0.036348,284.598000,243.168660,15.732238,42.564000,41.877668,1.625613,1.044000,1.021488,2.179877
1948Q3,2289.770000,2262.530779,1.196738,1403.859000,1413.131893,-0.658357,287.514000,246.248929,15.492862,42.864000,41.970746,2.105946,1.034870,1.029021,0.566719
1948Q4,2292.364000,2288.654599,0.161947,1415.063000,1425.172080,-0.711851,273.765000,249.280223,9.369242,42.471000,42.068205,0.952926,1.036751,1.036621,0.012509
1949Q1,2260.807000,2315.440802,-2.387825,1417.353000,1437.415445,-1.405562,232.885000,252.293979,-8.005022,41.756000,42.172299,-0.992043,1.021468,1.044307,-2.211202
1949Q2,2253.128000,2343.015124,-3.911914,1439.077000,1449.871333,-0.747288,201.926000,255.338221,-23.468773,41.068000,42.285558,-2.921638,1.019534,1.052096,-3.143918
1949Q3,2276.424000,2371.473713,-4.090579,1442.341000,1462.536517,-1.390478,218.667000,258.450408,-16.715381,40.626000,42.410281,-4.298255,1.037760,1.059995,-2.119994
1949Q4,2257.352000,2400.858500,-6.163394,1463.488000,1475.400719,-0.810700,207.912000,261.631438,-22.982188,40.452000,42.548025,-5.051734,1.028728,1.067987,-3.745189
1950Q1,2346.104000,2431.151093,-3.560877,1487.854000,1488.440307,-0.039398,257.271000,264.854552,-2.905081,40.769000,42.699228,-4.625885,1.073341,1.076041,-0.251190
1950Q2,2417.682000,2462.236999,-1.826106,1512.357000,1501.623149,0.712274,284.803000,268.053124,6.061253,41.777000,42.862995,-2.566291,1.096877,1.084100,1.171759
1950Q3,2511.127000,2493.939920,0.686790,1590.019000,1514.915552,4.838627,309.285000,271.152398,13.158216,43.091000,43.037179,0.124980,1.119697,1.092103,2.495287
1950Q4,2559.214000,2526.045160,1.304528,1542.087000,1528.289390,0.898763,348.585000,274.084736,24.044479,43.490000,43.218914,0.625281,1.122889,1.099997,2.059716
1951Q1,2593.967000,2558.337555,1.383071,1579.375000,1541.762150,2.410318,312.966000,276.802793,12.278925,44.221000,43.405322,1.861774,1.116016,1.107743,0.744082
1951Q2,2638.898000,2590.611904,1.846730,1534.744000,1555.360661,-1.334386,320.221000,279.300017,13.672485,44.575000,43.593646,2.226176,1.118877,1.115316,0.318790
1951Q3,2693.259000,2622.675507,2.655700,1552.624000,1569.136317,-1.057895,296.643000,281.592006,5.207016,44.148000,43.781592,0.833416,1.139705,1.122695,1.503724
1951Q4,2699.156000,2654.357327,1.673657,1561.670000,1583.129105,-1.364757,273.007000,283.719802,-3.848970,44.170000,43.967438,0.459651,1.138550,1.129862,0.765984
1952Q1,2727.954000,2685.523608,1.567616,1565.288000,1597.369835,-2.028859,280.130000,285.735482,-1.981272,44.455000,44.149662,0.689218,1.139429,1.136809,0.230166
1952Q2,2733.800000,2716.064036,0.650880,1595.941000,1611.876623,-0.993557,259.010000,287.685973,-10.500284,44.268000,44.326845,-0.132841,1.144038,1.143534,0.044067
1952Q3,2753.517000,2745.891766,0.277311,1603.596000,1626.647562,-1.427258,272.895000,289.616029,-5.946890,44.588000,44.497742,0.202632,1.145914,1.150036,-0.359135
1952Q4,2843.941000,2774.929201,2.456553,1660.168000,1641.670411,1.120454,292.552000,291.552523,0.342226,45.771000,44.661053,2.454889,1.168209,1.156315,1.023291
1953Q1,2896.811000,2803.102235,3.288373,1679.665000,1656.917625,1.363535,298.847000,293.512148,1.801271,46.241000,44.815520,3.131235,1.183663,1.162369,1.815406
1953Q2,2919.206000,2830.379242,3.090095,1689.777000,1672.372265,1.035343,300.547000,295.512680,1.689240,46.326000,44.960565,2.991759,1.187276,1.168202,1.619551
1953Q3,2902.785000,2856.788146,1.597265,1685.752000,1688.031081,-0.135105,294.261000,297.575729,-1.120162,45.871000,45.096491,1.702866,1.178207,1.173834,0.371840
1953Q4,2858.845000,2882.415527,-0.821097,1674.449000,1703.901656,-1.743656,272.998000,299.726682,-9.340653,45.155000,45.224459,-0.153705,1.160893,1.179296,-1.572789
1954Q1,2845.192000,2907.381774,-2.162239,1680.625000,1719.990348,-2.315293,271.041000,301.989574,-10.812239,44.548000,45.346128,-1.775754,1.159603,1.184622,-2.134558
1954Q2,2848.305000,2931.797730,-2.889171,1702.449000,1736.284765,-1.967984,270.402000,304.371447,-11.833908,44.214000,45.463138,-2.786037,1.167509,1.189836,-1.894362
1954Q3,2880.482000,2955.739022,-2.579107,1725.489000,1752.746611,-1.567356,283.451000,306.858893,-7.934874,44.043000,45.576642,-3.422892,1.179925,1.194947,-1.265162
1954Q4,2936.852000,2979.230733,-1.432686,1761.703000,1769.314308,-0.431112,295.882000,309.415216,-4.472339,44.588000,45.687008,-2.434921,1.198076,1.199950,-0.156258
